res_70.txt
SlidingSketch: 平均测试周期数 = 10927.75, 平均测试吞吐量 = 0.00, 平均测试吞吐量 = 4553.23
UnivMon: 平均测试周期数 = 9240.88, 平均测试吞吐量 = 0.00, 平均测试吞吐量 = 3850.36
elastic: 平均测试周期数 = 2313.25, 平均测试吞吐量 = 0.03, 平均测试吞吐量 = 963.85
flowradar: 平均测试周期数 = 4384.50, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 1826.88
mvsketch: 平均测试周期数 = 3750.25, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 1562.60
nitrosketch: 平均测试周期数 = 3799.25, 平均测试吞吐量 = 0.01, 平均测试吞吐量 = 1583.02
res_256.txt
CBF: 平均测试周期数 = 2032.75, 平均测试吞吐量 = 4.44, 平均测试吞吐量 = 846.98
CM: 平均测试周期数 = 3699.88, 平均测试吞吐量 = 1.78, 平均测试吞吐量 = 1541.61
CS: 平均测试周期数 = 4577.00, 平均测试吞吐量 = 1.36, 平均测试吞吐量 = 1907.08
SlidingSketch: 平均测试周期数 = 6504.25, 平均测试吞吐量 = 0.88, 平均测试吞吐量 = 2710.10
UnivMon: 平均测试周期数 = 14715.38, 平均测试吞吐量 = 0.36, 平均测试吞吐量 = 6131.41
elastic: 平均测试周期数 = 2275.00, 平均测试吞吐量 = 3.83, 平均测试吞吐量 = 947.92
flowradar: 平均测试周期数 = 3136.25, 平均测试吞吐量 = 2.25, 平均测试吞吐量 = 1306.77
mvsketch: 平均测试周期数 = 3288.62, 平均测试吞吐量 = 2.13, 平均测试吞吐量 = 1370.26
nitrosketch: 平均测试周期数 = 3342.25, 平均测试吞吐量 = 2.08, 平均测试吞吐量 = 1392.60
res_60.txt
CBF: 平均测试周期数 = 4094.62, 平均测试吞吐量 = 0.36, 平均测试吞吐量 = 1706.09
CM: 平均测试周期数 = 3956.50, 平均测试吞吐量 = 0.38, 平均测试吞吐量 = 1648.54
CS: 平均测试周期数 = 6502.00, 平均测试吞吐量 = 0.22, 平均测试吞吐量 = 2709.17
SlidingSketch: 平均测试周期数 = 8957.62, 平均测试吞吐量 = 0.14, 平均测试吞吐量 = 3732.34
UnivMon: 平均测试周期数 = 9355.38, 平均测试吞吐量 = 0.14, 平均测试吞吐量 = 3898.07
elastic: 平均测试周期数 = 2473.25, 平均测试吞吐量 = 0.77, 平均测试吞吐量 = 1030.52
